model,dataset,testsize,metric_set,metric,value
LinearRegression(),dataset_1,0.5,Non-CV,MAE_Score,1.8886832595106994e-06
LinearRegression(),dataset_1,0.5,Non-CV,RMSE_Score,0.000315212126164197
LinearRegression(),dataset_1,0.5,Non-CV,RMSLE_Score,-8.06226472938744
LinearRegression(),dataset_1,0.5,10 Fold-CV,Mean_Score,0.9999999975078324
LinearRegression(),dataset_1,0.5,10 Fold-CV,Min_Score,0.9999999875391626
LinearRegression(),dataset_1,0.5,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_1,0.5,10 Fold-CV,cv_scores,[1.         0.99999999 1.         1.         1.        ]
LinearRegression(),dataset_2,0.5,Non-CV,R2_Score,1.0
LinearRegression(),dataset_2,0.5,Non-CV,MSE_Score,1.3387894813496374e-30
LinearRegression(),dataset_2,0.5,Non-CV,MAE_Score,9.131172338677941e-16
LinearRegression(),dataset_2,0.5,Non-CV,RMSE_Score,1.1570607077200563e-15
LinearRegression(),dataset_2,0.5,Non-CV,RMSLE_Score,-34.392893478136095
LinearRegression(),dataset_2,0.5,10 Fold-CV,Mean_Score,1.0
LinearRegression(),dataset_2,0.5,10 Fold-CV,Min_Score,1.0
LinearRegression(),dataset_2,0.5,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_2,0.5,10 Fold-CV,cv_scores,[1. 1. 1. 1. 1.]
LinearRegression(),dataset_3,0.5,Non-CV,R2_Score,0.9999671397670729
LinearRegression(),dataset_3,0.5,Non-CV,MSE_Score,6.216657740453707e-06
LinearRegression(),dataset_3,0.5,Non-CV,MAE_Score,1.4939452993173568e-05
LinearRegression(),dataset_3,0.5,Non-CV,RMSE_Score,0.002493322630638423
LinearRegression(),dataset_3,0.5,Non-CV,RMSLE_Score,-5.994139068197771
LinearRegression(),dataset_3,0.5,10 Fold-CV,Mean_Score,0.9998948310396691
LinearRegression(),dataset_3,0.5,10 Fold-CV,Min_Score,0.9994741551983456
LinearRegression(),dataset_3,0.5,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_3,0.5,10 Fold-CV,cv_scores,[1.         0.99947416 1.         1.         1.        ]
LinearRegression(),dataset_4,0.5,Non-CV,R2_Score,-3.9066346922063266e+19
LinearRegression(),dataset_4,0.5,Non-CV,MSE_Score,3.901118242891383e+19
LinearRegression(),dataset_4,0.5,Non-CV,MAE_Score,283532269.88809115
LinearRegression(),dataset_4,0.5,Non-CV,RMSE_Score,6245893245.078227
LinearRegression(),dataset_4,0.5,Non-CV,RMSLE_Score,22.555190003935046
LinearRegression(),dataset_4,0.5,10 Fold-CV,Mean_Score,-1.0082291311465464e+20
LinearRegression(),dataset_4,0.5,10 Fold-CV,Min_Score,-3.313074309544858e+20
LinearRegression(),dataset_4,0.5,10 Fold-CV,Max_Score,-1.0000014920061791e+18
LinearRegression(),dataset_4,0.5,10 Fold-CV,cv_scores,"[-1.00000149e+18 -1.62878034e+20 -2.08628348e+18 -6.84281547e+18
 -3.31307431e+20]"
LinearRegression(),dataset_5,0.5,Non-CV,R2_Score,0.9998102306332097
LinearRegression(),dataset_5,0.5,Non-CV,MSE_Score,3.590148632152582e-05
LinearRegression(),dataset_5,0.5,Non-CV,MAE_Score,3.590148647647062e-05
LinearRegression(),dataset_5,0.5,Non-CV,RMSE_Score,0.005991784902808663
LinearRegression(),dataset_5,0.5,Non-CV,RMSLE_Score,-5.117365930806629
LinearRegression(),dataset_5,0.5,10 Fold-CV,Mean_Score,0.9999049114247617
LinearRegression(),dataset_5,0.5,10 Fold-CV,Min_Score,0.9995245571238086
LinearRegression(),dataset_5,0.5,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_5,0.5,10 Fold-CV,cv_scores,[1.         0.99952456 1.         1.         1.        ]
LinearRegression(),dataset_6,0.5,Non-CV,R2_Score,0.013215835724965208
LinearRegression(),dataset_6,0.5,Non-CV,MSE_Score,0.9853907540240399
LinearRegression(),dataset_6,0.5,Non-CV,MAE_Score,0.7672607401578238
LinearRegression(),dataset_6,0.5,Non-CV,RMSE_Score,0.9926685015774601
LinearRegression(),dataset_6,0.5,Non-CV,RMSLE_Score,-0.007358505941788521
LinearRegression(),dataset_6,0.5,10 Fold-CV,Mean_Score,0.013605925350972825
LinearRegression(),dataset_6,0.5,10 Fold-CV,Min_Score,0.010482314297144746
LinearRegression(),dataset_6,0.5,10 Fold-CV,Max_Score,0.017467105888436807
LinearRegression(),dataset_6,0.5,10 Fold-CV,cv_scores,[0.01048231 0.01746711 0.01554477 0.01093946 0.01359597]
LinearRegression(),dataset_7,0.5,Non-CV,R2_Score,-268723962726443.0
LinearRegression(),dataset_7,0.5,Non-CV,MSE_Score,268344505153139.6
LinearRegression(),dataset_7,0.5,Non-CV,MAE_Score,366137.49000659003
LinearRegression(),dataset_7,0.5,Non-CV,RMSE_Score,16381224.165279578
LinearRegression(),dataset_7,0.5,Non-CV,RMSLE_Score,16.611646368961704
LinearRegression(),dataset_7,0.5,10 Fold-CV,Mean_Score,-1.1893070668153582e+20
LinearRegression(),dataset_7,0.5,10 Fold-CV,Min_Score,-3.145271205035501e+20
LinearRegression(),dataset_7,0.5,10 Fold-CV,Max_Score,-1.5541391058520746e+19
LinearRegression(),dataset_7,0.5,10 Fold-CV,cv_scores,"[-1.55413911e+19 -3.14527121e+20 -3.98773347e+19 -1.53991386e+20
 -7.07163009e+19]"
LinearRegression(),dataset_8,0.5,Non-CV,R2_Score,-4.509592218902848e+19
LinearRegression(),dataset_8,0.5,Non-CV,MSE_Score,4.503224350170132e+19
LinearRegression(),dataset_8,0.5,Non-CV,MAE_Score,170640170.96367
LinearRegression(),dataset_8,0.5,Non-CV,RMSE_Score,6710606790.872292
LinearRegression(),dataset_8,0.5,Non-CV,RMSLE_Score,22.626955214671828
LinearRegression(),dataset_8,0.5,10 Fold-CV,Mean_Score,-1.602311605606407e+20
LinearRegression(),dataset_8,0.5,10 Fold-CV,Min_Score,-6.503596790452135e+20
LinearRegression(),dataset_8,0.5,10 Fold-CV,Max_Score,-2.2121729469780577e+18
